Time	Open	High	Low	Close	Volume	Spread
2022-10-27 15:00:00	0.99979	1.00114	0.99775	0.99838	51335	4
2022-10-27 16:00:00	0.99838	0.999	0.99702	0.99776	34526	4
2022-10-27 17:00:00	0.99778	0.99956	0.9971	0.99715	25340	5
2022-10-27 18:00:00	0.99715	0.99737	0.99575	0.99627	16521	4
2022-10-27 19:00:00	0.99626	0.99725	0.9959	0.99708	22079	5
2022-10-27 20:00:00	0.99708	0.99722	0.996	0.99635	8905	4
2022-10-27 21:00:00	0.99635	0.99657	0.9961	0.99651	917	24
2022-10-27 22:00:00	0.99651	0.9972	0.99634	0.9971	10954	27
2022-10-27 23:00:00	0.9971	0.99719	0.99663	0.99668	9905	8
2022-10-28 00:00:00	0.99668	0.9969	0.99578	0.99664	24610	6
2022-10-28 01:00:00	0.99667	0.9996	0.99641	0.99952	24816	5
2022-10-28 02:00:00	0.99952	0.9998	0.99813	0.99883	19052	5
2022-10-28 03:00:00	0.99884	0.99925	0.99798	0.99922	14327	5
2022-10-28 04:00:00	0.99921	0.99925	0.99815	0.99849	18224	6
2022-10-28 05:00:00	0.99849	0.99909	0.99731	0.99737	31696	5
2022-10-28 06:00:00	0.99734	0.99808	0.99631	0.99677	34100	5
2022-10-28 07:00:00	0.99677	0.99767	0.99377	0.99451	45476	4
2022-10-28 08:00:00	0.99457	0.9953	0.99265	0.99409	37665	5
2022-10-28 09:00:00	0.99412	0.99646	0.99412	0.99534	35561	4
2022-10-28 10:00:00	0.99534	0.99566	0.99352	0.99474	21375	4
2022-10-28 11:00:00	0.99472	0.99755	0.99388	0.99539	30091	5
2022-10-28 12:00:00	0.99537	0.9973	0.99359	0.99691	53757	5
2022-10-28 13:00:00	0.99691	0.99898	0.99655	0.9969	54568	4
2022-10-28 14:00:00	0.99691	0.99823	0.99388	0.99505	58329	6
2022-10-28 15:00:00	0.99506	0.99529	0.99303	0.99335	33596	5
2022-10-28 16:00:00	0.99335	0.9939	0.99286	0.99382	24419	4
2022-10-28 17:00:00	0.99384	0.99492	0.9934	0.99381	15149	5
2022-10-28 18:00:00	0.99381	0.99571	0.99375	0.99556	18828	5
2022-10-28 19:00:00	0.99556	0.99661	0.99523	0.9966	10297	5
2022-10-28 20:00:00	0.99659	0.99675	0.99595	0.99631	5465	4
2022-10-30 21:00:00	0.99464	0.9958	0.99459	0.99566	388	69
2022-10-30 22:00:00	0.99567	0.996	0.99454	0.9957	12556	24
2022-10-30 23:00:00	0.99572	0.9962	0.99535	0.99543	17320	10
2022-10-31 00:00:00	0.99543	0.99647	0.9953	0.9959	13019	6
2022-10-31 01:00:00	0.9959	0.99635	0.99431	0.99482	15944	5
2022-10-31 02:00:00	0.99479	0.99563	0.99456	0.99553	10285	5
2022-10-31 03:00:00	0.99554	0.99656	0.99524	0.99647	13307	5
2022-10-31 04:00:00	0.99646	0.99655	0.99586	0.99605	7622	5
2022-10-31 05:00:00	0.99605	0.99616	0.99441	0.99479	12339	5
2022-10-31 06:00:00	0.99477	0.99531	0.9938	0.9952	18789	5
2022-10-31 07:00:00	0.99519	0.99545	0.9928	0.99296	24986	5
2022-10-31 08:00:00	0.99291	0.99333	0.9914	0.99229	27612	4
2022-10-31 09:00:00	0.99228	0.99487	0.99211	0.99461	27830	5
2022-10-31 10:00:00	0.99463	0.99464	0.99272	0.99324	22022	6
2022-10-31 11:00:00	0.99324	0.99391	0.99243	0.99361	27738	5
2022-10-31 12:00:00	0.99362	0.99365	0.99072	0.99089	33503	5
2022-10-31 13:00:00	0.99086	0.99154	0.98882	0.98897	35358	4
2022-10-31 14:00:00	0.98898	0.99079	0.98804	0.98895	32865	4
2022-10-31 15:00:00	0.98896	0.98951	0.98728	0.98828	30716	4
2022-10-31 16:00:00	0.98825	0.98898	0.98751	0.98752	26757	4
2022-10-31 17:00:00	0.98754	0.98871	0.9873	0.98867	20911	4
2022-10-31 18:00:00	0.98866	0.98957	0.98813	0.9888	14266	5
2022-10-31 19:00:00	0.9888	0.98883	0.98766	0.98827	19561	5
2022-10-31 20:00:00	0.98829	0.98841	0.98796	0.98802	6013	5
2022-10-31 21:00:00	0.98801	0.9885	0.98717	0.98821	980	43
2022-10-31 22:00:00	0.98823	0.98853	0.98807	0.98842	3442	21
2022-10-31 23:00:00	0.98842	0.98875	0.98827	0.98856	4975	11
2022-11-01 00:00:00	0.98856	0.98901	0.98822	0.98853	7471	5
2022-11-01 01:00:00	0.98851	0.98996	0.98841	0.98947	14744	4
2022-11-01 02:00:00	0.98948	0.9908	0.98927	0.99063	12711	6
2022-11-01 03:00:00	0.99063	0.99076	0.98944	0.99032	14523	5
2022-11-01 04:00:00	0.99034	0.99076	0.98993	0.99049	10668	5
2022-11-01 05:00:00	0.9905	0.99277	0.99042	0.99247	11543	5
2022-11-01 06:00:00	0.99247	0.99384	0.99214	0.9933	15426	5
2022-11-01 07:00:00	0.99331	0.99333	0.99086	0.99302	20318	5
2022-11-01 08:00:00	0.99297	0.99477	0.99209	0.99224	22451	5
2022-11-01 09:00:00	0.99227	0.99352	0.9915	0.99337	13971	4
2022-11-01 10:00:00	0.99337	0.99415	0.99232	0.99363	22781	3
2022-11-01 11:00:00	0.99364	0.99424	0.99259	0.99343	18721	4
2022-11-01 12:00:00	0.99343	0.99478	0.99342	0.99406	20995	4
2022-11-01 13:00:00	0.99409	0.99539	0.99295	0.99356	25182	4
2022-11-01 14:00:00	0.99359	0.99369	0.98587	0.98688	47509	6
2022-11-01 15:00:00	0.98687	0.98852	0.98608	0.987	26504	5
2022-11-01 16:00:00	0.987	0.99096	0.98527	0.9861	24167	5
2022-11-01 17:00:00	0.98611	0.98826	0.98578	0.98818	17683	5
2022-11-01 18:00:00	0.98817	0.98859	0.98766	0.98825	11494	4
2022-11-01 19:00:00	0.98824	0.98836	0.98738	0.98776	11217	5
2022-11-01 20:00:00	0.98775	0.98796	0.98727	0.98738	5024	4
2022-11-01 21:00:00	0.98719	0.98794	0.98719	0.98746	21661	39
2022-11-01 22:00:00	0.98747	0.98796	0.98695	0.9874	3462	17
2022-11-01 23:00:00	0.98739	0.9879	0.98718	0.98772	8789	8
2022-11-02 00:00:00	0.98772	0.98876	0.98743	0.98872	13675	5
2022-11-02 01:00:00	0.98872	0.98889	0.98812	0.98879	17479	5
2022-11-02 02:00:00	0.98878	0.98963	0.98787	0.98937	13209	5
2022-11-02 03:00:00	0.98938	0.98996	0.98915	0.98928	13086	5
2022-11-02 04:00:00	0.98931	0.98937	0.98793	0.98841	12692	5
2022-11-02 05:00:00	0.98841	0.98928	0.98831	0.98874	13482	5
2022-11-02 06:00:00	0.98876	0.98894	0.98783	0.98825	14700	5
2022-11-02 07:00:00	0.98824	0.98855	0.98709	0.98842	25518	5
2022-11-02 08:00:00	0.98842	0.99067	0.9879	0.98999	31074	4
2022-11-02 09:00:00	0.98999	0.99054	0.98864	0.99048	19854	5
2022-11-02 10:00:00	0.99049	0.99118	0.98942	0.99012	18546	5
2022-11-02 11:00:00	0.99014	0.99055	0.98867	0.98976	19352	5
2022-11-02 12:00:00	0.98976	0.99077	0.98842	0.99059	36844	4
2022-11-02 13:00:00	0.99061	0.9915	0.98879	0.98941	37642	5
2022-11-02 14:00:00	0.98942	0.98943	0.98722	0.98733	34461	5
2022-11-02 15:00:00	0.98735	0.9886	0.98641	0.98742	32537	4
2022-11-02 16:00:00	0.98744	0.98763	0.98586	0.98673	21570	4
2022-11-02 17:00:00	0.98672	0.98915	0.98587	0.98798	19360	5
2022-11-02 18:00:00	0.98802	0.99757	0.98731	0.98847	89374	13
2022-11-02 19:00:00	0.98845	0.99047	0.98224	0.98285	66637	5
2022-11-02 20:00:00	0.98285	0.98312	0.98129	0.98145	14472	4
2022-11-02 21:00:00	0.98139	0.9818	0.98131	0.98155	4494	58
2022-11-02 22:00:00	0.98149	0.98317	0.98122	0.98146	6382	19
2022-11-02 23:00:00	0.98146	0.98181	0.98098	0.98138	10201	7
2022-11-03 00:00:00	0.98141	0.98225	0.98098	0.98208	12845	5
2022-11-03 01:00:00	0.98207	0.98394	0.98198	0.98309	22383	5
2022-11-03 02:00:00	0.98307	0.98391	0.98261	0.98271	15681	6
2022-11-03 03:00:00	0.9827	0.98331	0.98241	0.9829	13488	5
2022-11-03 04:00:00	0.9829	0.9836	0.98275	0.98345	8649	6
2022-11-03 05:00:00	0.98346	0.98359	0.98242	0.98262	9613	5
2022-11-03 06:00:00	0.9826	0.9826	0.98097	0.98114	13539	5
2022-11-03 07:00:00	0.98114	0.98132	0.97729	0.97836	32089	5
2022-11-03 08:00:00	0.97835	0.979	0.97608	0.97673	41174	5
2022-11-03 09:00:00	0.97676	0.97702	0.97475	0.97532	38164	4
2022-11-03 10:00:00	0.97532	0.97563	0.97299	0.9741	31841	5
2022-11-03 11:00:00	0.97447	0.97513	0.97355	0.97392	29811	4
2022-11-03 12:00:00	0.97393	0.97634	0.97326	0.97407	61452	5
2022-11-03 13:00:00	0.97407	0.97614	0.9735	0.97443	51334	5
2022-11-03 14:00:00	0.97454	0.97946	0.97424	0.97854	51769	7
2022-11-03 15:00:00	0.97853	0.97872	0.9753	0.97579	47080	4
2022-11-03 16:00:00	0.97579	0.97694	0.97453	0.97479	37754	4
2022-11-03 17:00:00	0.97475	0.97539	0.97442	0.9747	19504	5
2022-11-03 18:00:00	0.97469	0.97564	0.97423	0.97534	20102	4
2022-11-03 19:00:00	0.97536	0.97614	0.97486	0.97512	13294	5
2022-11-03 20:00:00	0.97517	0.9752	0.97466	0.97468	7827	4
2022-11-03 21:00:00	0.97468	0.97505	0.97464	0.97488	1496	49
2022-11-03 22:00:00	0.97483	0.9755	0.97424	0.9751	5277	12
2022-11-03 23:00:00	0.97509	0.97517	0.97469	0.97488	6621	6
2022-11-04 00:00:00	0.97491	0.97599	0.97472	0.97526	14883	6
2022-11-04 01:00:00	0.97527	0.97664	0.97481	0.97636	17279	5
2022-11-04 02:00:00	0.97636	0.97711	0.97601	0.97665	13708	5
2022-11-04 03:00:00	0.97667	0.97736	0.97663	0.9773	13800	6
2022-11-04 04:00:00	0.97729	0.97883	0.97723	0.97861	16591	5
2022-11-04 05:00:00	0.97863	0.97906	0.97751	0.97752	14769	6
2022-11-04 06:00:00	0.97751	0.97964	0.97724	0.97801	24225	5
2022-11-04 07:00:00	0.97802	0.97856	0.97568	0.97637	28205	5
2022-11-04 08:00:00	0.97638	0.97834	0.97638	0.97734	26727	5
2022-11-04 09:00:00	0.97738	0.97907	0.97715	0.97752	31979	5
2022-11-04 10:00:00	0.97753	0.97961	0.97731	0.97917	30755	5
2022-11-04 11:00:00	0.97916	0.98115	0.9785	0.97968	32130	4
2022-11-04 12:00:00	0.97968	0.98509	0.9751	0.98473	63834	5
2022-11-04 13:00:00	0.98469	0.98814	0.98394	0.98664	60352	5
2022-11-04 14:00:00	0.98664	0.99404	0.98602	0.9929	58469	4
2022-11-04 15:00:00	0.99291	0.99334	0.9887	0.98951	50185	5
2022-11-04 16:00:00	0.98951	0.99169	0.98875	0.99148	46289	4
2022-11-04 17:00:00	0.99149	0.99275	0.99132	0.99231	27078	5
2022-11-04 18:00:00	0.99229	0.99492	0.99145	0.99483	26371	5
2022-11-04 19:00:00	0.99484	0.99664	0.99442	0.99605	29830	5
2022-11-04 20:00:00	0.99605	0.99635	0.99547	0.9956	5358	5
2022-11-06 22:00:00	0.99036	0.99294	0.99001	0.99207	15871	45
2022-11-06 23:00:00	0.99257	0.99446	0.99179	0.99281	21662	31
2022-11-07 00:00:00	0.99282	0.99469	0.99281	0.99325	20535	6
2022-11-07 01:00:00	0.99325	0.99404	0.99175	0.99302	22725	6
2022-11-07 02:00:00	0.99302	0.99389	0.99273	0.99374	20001	5
2022-11-07 03:00:00	0.99375	0.99448	0.99251	0.99373	17831	5
2022-11-07 04:00:00	0.99373	0.9943	0.99359	0.99388	9004	5
2022-11-07 05:00:00	0.99389	0.99553	0.99378	0.99442	19848	5
2022-11-07 06:00:00	0.9944	0.99484	0.99388	0.99398	23044	6
2022-11-07 07:00:00	0.99403	0.99472	0.99239	0.99278	32917	5
2022-11-07 08:00:00	0.99277	0.99898	0.99245	0.99864	44101	5
2022-11-07 09:00:00	0.99862	1.0007	0.99805	0.99853	40605	5
2022-11-07 10:00:00	0.99854	0.99952	0.99794	0.99815	24042	5
2022-11-07 11:00:00	0.99815	0.99894	0.99747	0.9981	23933	5
2022-11-07 12:00:00	0.9981	0.99877	0.99657	0.99871	27126	4
2022-11-07 13:00:00	0.99874	0.99981	0.99755	0.99938	42087	5
2022-11-07 14:00:00	0.99939	1.00058	0.99808	0.99864	51924	4
2022-11-07 15:00:00	0.99886	1.00023	0.9981	1.00008	44704	5
2022-11-07 16:00:00	1.00009	1.00025	0.99883	0.99966	34866	5
2022-11-07 17:00:00	0.99966	1.00265	0.99937	1.00217	27198	5
2022-11-07 18:00:00	1.00216	1.00313	1.00192	1.00307	17576	5
2022-11-07 19:00:00	1.00308	1.0034	1.0025	1.00263	9419	4
2022-11-07 20:00:00	1.00265	1.00311	1.00186	1.00203	16233	4
2022-11-07 21:00:00	1.00203	1.00247	1.0018	1.00182	2504	5
